brand,model,ram,storage,price,display_size,display_type
Xiaomi,Redmi 13C,6,128,28000,6.74,HD
Samsung,S23 FE,8,256,99000,6.4,AMOLED
Honor,X9b,12,256,62000,6.78,AMOLED
Realme,C53,8,256,32000,6.74,Full HD
Samsung,S24,8,128,110000,6.2,AMOLED
Xiaomi,Redmi Note 13 Pro+,8,256,66000,6.67,AMOLED
Samsung,Galaxy A25,8,256,54000,6.5,Super AMOLED
Realme,C67 4G,6,128,32000,6.72,Full HD
Xiaomi,Note 13 Pro 4G,8,256,53000,6.67,AMOLED
Xiaomi,Redmi A3,4,128,22000,6.71,HD
Itel,A70,4,128,18000,6.6,HD
Itel,A70,8,256,20000,6.6,HD
INFINIX,Smart 8,3,64,16000,6.6,HD
Honor,X8b,8,512,52000,6.7,AMOLED
INFINIX,Hot 40 Pro,8,256,36000,6.78,Full HD
Realme,C65 5G,6,128,29000,6.67,HD
Realme,12x,12,256,39000,6.67,Full HD
Oppo,A3 Pro,12,256,58000,6.7,AMOLED
Oppo,A3 Pro,12,512,60000,6.7,AMOLED
Oppo,A79,4,128,34000,6.72,Full HD
Vivo,Y03,4,64,22000,6.56,HD
Apple,iPhone 16 8/128GB DS,8,128,174000,6.1,Rétina
Samsung,A06,6,128,29000,6.7,HD
Honor,200 LITE,8,256,50000,6,AMOLED
Realme,C61,8,256,30000,6.74,HD
Realme,C61,6,128,27000,6.74,HD
Xiaomi,Redmi A3x,3,64,20000,6.71,HD
Samsung,M15,6,128,35000,6.5,Super AMOLED
Realme,12x,8,256,38000,6.67,Full HD
Vivo,Y28,8,256,36000,6.56,NC
Xiaomi,Redmi Note 13 4G,8,256,39000,6.67,AMOLED
Condor,NOVA60,8,128,22000,6.56,Full HD
Oppo,A40,6,128,30000,6.67,HD
Realme,13,8,256,48000,6.72,Full HD
Realme,13 Pro+,12,256,70000,6.7,AMOLED
Realme,12x,6,128,34000,6.67,Full HD
Vivo,Y19s,4,128,28000,6.68,HD
Realme,Note 60,6,64,22000,6.7,HD
Xiaomi,Redmi Note 14 5G,8,256,54000,6.67,AMOLED
ACE,buzz 6 Pro,4,128,19000,6.6,HD
ACE,buzz 6 Prime,3,64,16000,6.6,HD
Xiaomi,Redmi Note 14 Pro 5G,8,256,58000,6.67,AMOLED
Honor,X7c,8,256,38000,6.77,Full HD
Condor,Mate 70,8,256,30000,6.8,Full HD
